row_element,column_element,cooccurrence_count,row_element_count,conditional_probability
O,Al,2,506021,3.9524051373361975e-6
O,As,80,506021,0.0001580962054934479
O,B,15,506021,0.000029643038530021483
O,Ba,0,506021,0.0
O,Br,4589,506021,0.009068793587617904
O,C,505926,506021,0.9998122607559765
O,Ca,0,506021,0.0
O,Cd,0,506021,0.0
O,Cl,6655,506021,0.013151628094486197
O,Co,9,506021,0.00001778582311801289
O,Cr,0,506021,0.0
O,Cu,1,506021,1.9762025686680987e-6
O,F,306,506021,0.0006047179860124382
O,Fe,3,506021,5.928607706004296e-6
O,Ge,0,506021,0.0
O,H,505998,506021,0.9999545473409206
O,He,11,506021,0.000021738228255349088
O,I,127,506021,0.00025097772622084853
O,K,3,506021,5.928607706004296e-6
O,Mg,23,506021,0.00004545265907936627
O,Mn,1,506021,1.9762025686680987e-6
O,N,104133,506021,0.20578790208311512
O,Na,1,506021,1.9762025686680987e-6
O,Ni,4,506021,7.904810274672395e-6
O,O,506021,506021,1.0
O,P,2547,506021,0.005033387942397647
O,Pa,0,506021,0.0
O,Pb,0,506021,0.0
O,Pt,0,506021,0.0
O,S,10405,506021,0.02056238772699157
O,Se,33,506021,0.00006521468476604725
O,Si,67,506021,0.00013240557210076261
O,Sr,1,506021,1.9762025686680987e-6
O,Tb,0,506021,0.0
O,Tc,0,506021,0.0
O,Te,0,506021,0.0
O,Th,0,506021,0.0
O,V,2,506021,3.9524051373361975e-6
O,Zn,0,506021,0.0
P,Al,0,2560,0.0
P,As,2,2560,0.00078125
P,B,0,2560,0.0
P,Ba,0,2560,0.0
P,Br,4,2560,0.0015625
P,C,2535,2560,0.990234375
P,Ca,0,2560,0.0
P,Cd,0,2560,0.0
P,Cl,11,2560,0.004296875
P,Co,8,2560,0.003125
P,Cr,0,2560,0.0
P,Cu,0,2560,0.0
P,F,8,2560,0.003125
P,Fe,0,2560,0.0
P,Ge,0,2560,0.0
P,H,2555,2560,0.998046875
P,He,0,2560,0.0
P,I,0,2560,0.0
P,K,0,2560,0.0
P,Mg,0,2560,0.0
P,Mn,0,2560,0.0
P,N,1604,2560,0.6265625
P,Na,0,2560,0.0
P,Ni,0,2560,0.0
P,O,2547,2560,0.994921875
P,P,2560,2560,1.0
P,Pa,0,2560,0.0
P,Pb,0,2560,0.0
P,Pt,0,2560,0.0
P,S,449,2560,0.175390625
P,Se,2,2560,0.00078125
P,Si,0,2560,0.0
P,Sr,0,2560,0.0
P,Tb,0,2560,0.0
P,Tc,0,2560,0.0
P,Te,0,2560,0.0
P,Th,0,2560,0.0
P,V,0,2560,0.0
P,Zn,0,2560,0.0
Pa,Al,0,1,0.0
Pa,As,0,1,0.0
Pa,B,0,1,0.0
Pa,Ba,0,1,0.0
Pa,Br,0,1,0.0
Pa,C,0,1,0.0
Pa,Ca,0,1,0.0
Pa,Cd,0,1,0.0
Pa,Cl,0,1,0.0
Pa,Co,0,1,0.0
Pa,Cr,0,1,0.0
Pa,Cu,0,1,0.0
Pa,F,0,1,0.0
Pa,Fe,0,1,0.0
Pa,Ge,0,1,0.0
Pa,H,0,1,0.0
Pa,He,0,1,0.0
Pa,I,0,1,0.0
Pa,K,0,1,0.0
Pa,Mg,0,1,0.0
Pa,Mn,0,1,0.0
Pa,N,0,1,0.0
Pa,Na,0,1,0.0
Pa,Ni,0,1,0.0
Pa,O,0,1,0.0
Pa,P,0,1,0.0
Pa,Pa,1,1,1.0
Pa,Pb,0,1,0.0
Pa,Pt,0,1,0.0
Pa,S,0,1,0.0
Pa,Se,0,1,0.0
Pa,Si,0,1,0.0
Pa,Sr,0,1,0.0
Pa,Tb,0,1,0.0
Pa,Tc,0,1,0.0
Pa,Te,0,1,0.0
Pa,Th,0,1,0.0
Pa,V,0,1,0.0
Pa,Zn,0,1,0.0
Pb,Al,0,2,0.0
Pb,As,0,2,0.0
Pb,B,0,2,0.0
Pb,Ba,0,2,0.0
Pb,Br,0,2,0.0
Pb,C,0,2,0.0
Pb,Ca,0,2,0.0
Pb,Cd,0,2,0.0
Pb,Cl,0,2,0.0
Pb,Co,0,2,0.0
